date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:31:16	1450/1450	---MCZ	404	error ('Not%20Found')	text/html	etag:1673876402-ssl-df	https://kaleidoscopic-pie-2341a3.netlify.app/robots.txt		(from )
08:31:16	44290/44290	---MCZ	200	added ('OK')	text/html	etag:%22ff4648d281538d981d7f7fa77cf497d9-ssl-df%22	https://kaleidoscopic-pie-2341a3.netlify.app/template/	C:/My%20Web%20Sites/Portfolio%20Sample/kaleidoscopic-pie-2341a3.netlify.app/template/index.html	(from )
08:31:17	4128/4128	---M--	200	added ('OK')	image/png	etag:%22b13ab84632f9bf7b86ff2ee24668180a-ssl%22	https://kaleidoscopic-pie-2341a3.netlify.app/template/img/favicons/apple-touch-icon.png	C:/My%20Web%20Sites/Portfolio%20Sample/kaleidoscopic-pie-2341a3.netlify.app/template/img/favicons/apple-touch-icon.png	(from https://kaleidoscopic-pie-2341a3.netlify.app/template/)
08:31:17	652/652	---M--	200	added ('OK')	image/png	etag:%22e8e6b7082b8731d14cda8c1459557225-ssl%22	https://kaleidoscopic-pie-2341a3.netlify.app/template/img/favicons/favicon-32x32.png	C:/My%20Web%20Sites/Portfolio%20Sample/kaleidoscopic-pie-2341a3.netlify.app/template/img/favicons/favicon-32x32.png	(from https://kaleidoscopic-pie-2341a3.netlify.app/template/)
08:31:18	366/366	---M--	200	added ('OK')	image/png	etag:%22992a65eccd18b20d1bbcb114d6ae55f3-ssl%22	https://kaleidoscopic-pie-2341a3.netlify.app/template/img/favicons/favicon-16x16.png	C:/My%20Web%20Sites/Portfolio%20Sample/kaleidoscopic-pie-2341a3.netlify.app/template/img/favicons/favicon-16x16.png	(from https://kaleidoscopic-pie-2341a3.netlify.app/template/)
08:31:19	156196/156196	---MCZ	200	added ('OK')	text/css	etag:%22e8f430fa29908c1aed9a1baaf5646074-ssl-df%22	https://kaleidoscopic-pie-2341a3.netlify.app/template/css/bootstrap-custom.css	C:/My%20Web%20Sites/Portfolio%20Sample/kaleidoscopic-pie-2341a3.netlify.app/template/css/bootstrap-custom.css	(from https://kaleidoscopic-pie-2341a3.netlify.app/template/)
08:31:20	46588/46588	---MCZ	200	added ('OK')	text/css	etag:%2284a48b9ad1317032eeca78b451684a36-ssl-df%22	https://kaleidoscopic-pie-2341a3.netlify.app/template/css/ionicons.min.css	C:/My%20Web%20Sites/Portfolio%20Sample/kaleidoscopic-pie-2341a3.netlify.app/template/css/ionicons.min.css	(from https://kaleidoscopic-pie-2341a3.netlify.app/template/)
08:31:21	2058/2058	---M-Z	200	added ('OK')	text/css	etag:%22d6afab023a9e83f213a1a2b2b6f57ba0-ssl-df%22	https://kaleidoscopic-pie-2341a3.netlify.app/template/css/tiny-slider.css	C:/My%20Web%20Sites/Portfolio%20Sample/kaleidoscopic-pie-2341a3.netlify.app/template/css/tiny-slider.css	(from https://kaleidoscopic-pie-2341a3.netlify.app/template/)
08:31:22	3383/3383	---MCZ	200	added ('OK')	text/css	etag:%220d900b2f700af5d4973c19b9c35338f6-ssl-df%22	https://kaleidoscopic-pie-2341a3.netlify.app/template/css/lity.min.css	C:/My%20Web%20Sites/Portfolio%20Sample/kaleidoscopic-pie-2341a3.netlify.app/template/css/lity.min.css	(from https://kaleidoscopic-pie-2341a3.netlify.app/template/)
08:31:22	2706/2706	---M-Z	200	added ('OK')	text/css	etag:%22f7857820fec9e501ffdbf3aa83087a42-ssl-df%22	https://kaleidoscopic-pie-2341a3.netlify.app/template/css/simplebar.min.css	C:/My%20Web%20Sites/Portfolio%20Sample/kaleidoscopic-pie-2341a3.netlify.app/template/css/simplebar.min.css	(from https://kaleidoscopic-pie-2341a3.netlify.app/template/)
08:31:23	9177/9177	---MCZ	200	added ('OK')	text/css	etag:%22fbe8eb39026f1125a112e56a28256861-ssl-df%22	https://kaleidoscopic-pie-2341a3.netlify.app/template/css/jquery.mb.YTPlayer.min.css	C:/My%20Web%20Sites/Portfolio%20Sample/kaleidoscopic-pie-2341a3.netlify.app/template/css/jquery.mb.YTPlayer.min.css	(from https://kaleidoscopic-pie-2341a3.netlify.app/template/)
